===========================
  Segment 3: type=plane, RMSE=0.01663
  Segment 4: type=complex, RMSE=0.02191
  Segment 5: type=complex, RMSE=0.01784
  Segment 6: type=complex, RMSE=0.02477
  Segment 7: type=tube, RMSE=0.02012
  Segment 9: type=complex, RMSE=0.01712
File valve_0033_lidar_classes.ply:
  Segment 0: type=plane, RMSE=0.02739
  Segment 1: type=complex, RMSE=0.02043
  Segment 2: type=plane, RMSE=0.02047
  Segment 3: type=tube, RMSE=0.01479
  Segment 4: type=complex, RMSE=0.01633
  Segment 5: type=plane, RMSE=0.01591
  Segment 6: type=complex, RMSE=0.02557
  Segment 7: type=tube, RMSE=0.01226
  Segment 9: type=complex, RMSE=0.01576
File valve_0034_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01464
  Segment 1: type=complex, RMSE=0.01760
  Segment 2: type=tube, RMSE=0.01283
  Segment 3: type=tube, RMSE=0.01292
  Segment 4: type=complex, RMSE=0.01774
  Segment 5: type=complex, RMSE=0.01884
  Segment 6: type=complex, RMSE=0.02524
  Segment 7: type=tube, RMSE=0.01389
  Segment 9: type=complex, RMSE=0.01417
File valve_0035_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01441
  Segment 1: type=complex, RMSE=0.01907
  Segment 2: type=complex, RMSE=0.01867
  Segment 3: type=tube, RMSE=0.01207
  Segment 4: type=complex, RMSE=0.01719
  Segment 5: type=tube, RMSE=0.01822
  Segment 6: type=complex, RMSE=0.02377
  Segment 7: type=tube, RMSE=0.01553
  Segment 8: type=plane, RMSE=0.01080
  Segment 9: type=complex, RMSE=0.01413
File valve_0036_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01795
  Segment 1: type=complex, RMSE=0.01776
  Segment 2: type=complex, RMSE=0.02086
  Segment 3: type=tube, RMSE=0.01487
  Segment 5: type=complex, RMSE=0.01517
  Segment 6: type=complex, RMSE=0.02614
  Segment 7: type=tube, RMSE=0.01096
  Segment 9: type=complex, RMSE=0.01563
File valve_0037_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01927
  Segment 1: type=complex, RMSE=0.02254
  Segment 2: type=tube, RMSE=0.01386
  Segment 3: type=complex, RMSE=0.01877
  Segment 5: type=complex, RMSE=0.01885
  Segment 6: type=complex, RMSE=0.02785
  Segment 7: type=tube, RMSE=0.02466
  Segment 9: type=complex, RMSE=0.01859
File valve_0038_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01784
  Segment 1: type=complex, RMSE=0.01974
